Dataset,level,year,subjects,recordings,scoring,age range,age,% female,BMI,AHI (>=3% oxygen desaturation if not noted differently),ArI (arousals/h),PLM index (PLM/h),ESS,PHQ-8/PHQ-9,SF-36 (physical),SF-36 (mental),FSS (fatigue severity scale),MEQ (morningness-eveningness questionnaire),GAD-7 (general anxiety disorder questionnaire),FOSQ (Functional Outcomes of Sleep Questionnaire),ISI,PSQI,WHIIRS (Women's Health Initiative Insomnia Rating Scale),SSS,STOP-BANG,SAQLI (Calgary Sleep Apnea Quality of Life Index),Zung Self-Rating Depression Scale,PedsQL (Pediatric Quality of Life Inventory),BDI,TIB (min),TST  (min),SE (%),SOL (min),WASO (min),N1/S1 (%),N2/S2 (%),N3/(S3+S4) (%),REM (%),population,access,key reference,repo source
Subgroup 3,2,,10,10,AASM,30-58,40,10.0,27.1±1.8*,7.3±4.5,17.1±3.1,3.2±4.5,,,,,,,,,,,,,,,,,,442.8±40.2,353.6±45.4,80.1±9.4,12.4±7.1,68.2±46.4,17.7±7.2,37.4±7.1,28.9±8.8,16.0±5.1,healthy,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESA,1,2010-2012,2237,2237,AASM,54-90,69.6±9.2,53.6,28.7±5.6,24.1±19.6,22.3±12.2,8.8±19.7,6.0±4.1,-,-,-,-,17.3±3.8 (Modified Horne-Ostberg),-,-,-,,7.4±4.5,-,-,-,,,-,477.1±82.5,359.8±82.6,75.7±13.5,45.5±41.4,94.5±65.3,14.4±9.2,57.6±10.3,10.0±9.0,18.0±6.7,free of clinically apparent CVD at enrollment,upon request,10.5665/sleep.4732,10.25822/N7HQ-C406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microMeasAlert,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT-BIH,1,1999,16,19,R&K,32-56,43,0,89-152 (mean 119)kg,41.6±24.8,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,-,329.3±58.0,216.9±67.7,65.2±14.1,11.4±14.9,99.1±39.2,29.1±24.0,52.3±25.5,10.8±10.0,7.8±6.1,moderate to severe sleep apnea,upon request,10.1046/j.1440-1819.1999.00527.x,10.13026/C23K5S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMASH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNC,1,1988-2018,1671,1438,AASM*,,,,,,,,,,,,,,,,,,,,,,,,,574.7±158.5,384.6±84.6,69.0±14.9,96.0±91.4,93.6±105.5,11.7±9.4,60.1±13.4,11.2±10.3,17.1±7.0,,upon request,10.1038/s41467-018-07229-3,10.25822/00tc-zz78
